8,AGEL FY 25-26 Commissioning Status Update,,,,,,,,,For Chairman Budget Purpose @6.5GW +535 MW carryover,,,,,,,,,,,,31-Dec-25,,,,,
3,,,,,,,,,Monthwise Distribution,,,,,,,,,,,,,,,Quarterly Distribution,,,
,6,AGEL Merchant,ARE45L,Merchant,A-14,,Merchant,Actual / Fcst,50,,125,,,75,,,,,,,250,250,,175,75,,
,7,MLP T3 AP,ARE56L,PPA,S-06,500,PPA,Plan,100,,100,300,,,,,,,,,500,500,,200,300,,
,7,MLP T3 AP,ARE56L,PPA,S-06,,PPA,Rephase,100,,138,113,,50,50,50,,,,,500,500,,238,163,100,
,7,MLP T3 AP,ARE56L,PPA,S-06,,PPA,Actual / Fcst,100,,138,,88,100,,75,,,,,500,500,,238,188,75,
,8,Google Hybrid,ARE3L,Merchant,A-6,25,Merchant,Plan,,,25,,,,,,,,,,25,25,,25,,,
,8,Google Hybrid,ARE3L,Merchant,A-6,,Merchant,Rephase,,,,25,,,,,,,,,25,25,,,25,,
,8,Google Hybrid,ARE3L,Merchant,A-6,,Merchant,Actual / Fcst,,,,25,,,,,,,,,25,25,,,25,,
,9,AGEL Merchant,ASEJ6PL,Merchant,A-6,35,Merchant,Plan,,,35,,,,,,,,,,35,35,,35,,,
,9,AGEL Merchant,ASEJ6PL,Merchant,A-6,,Merchant,Rephase,,,,35,,,,,,,,,35,35,,,35,,
,9,AGEL Merchant,ASEJ6PL,Merchant,A-6,,Merchant,Actual / Fcst,,,,35,,,,,,,,,35,35,,,35,,
,10,AGEL Hybrid Merchant,AGE25BL,Merchant,S-8,100,Merchant,Plan,,,,,,,,,,100,,,100,,,,,,100
,10,AGEL Hybrid Merchant,AGE25BL,Merchant,S-8,,Merchant,Rephase,,,,,50,,,50,,,,,100,100,,,50,50,
,10,AGEL Hybrid Merchant,AGE25BL,Merchant,S-8,,Merchant,Actual / Fcst,,,,,,100,,,,,,,100,100,,,100,,
,11,AGEL Merchant,AHEJ5L,Merchant,A-15a,150,Merchant,Plan,,,,,,,,50,,100,,,150,50,,,,50,100
,11,AGEL Merchant,AHEJ5L,Merchant,A-15a,,Merchant,Rephase,,,,,,,50,50,,50,,,150,100,,,,100,50
,11,AGEL Merchant,AHEJ5L,Merchant,A-15a,,Merchant,Actual / Fcst,,,,,,50,,,,50,50,,150,50,,,50,,100
,12,AGEL Hybrid Merchant,AGE26BL,Merchant,S-5,292,Merchant,Plan,,100,192,,,,,,,,,,292,292,,292,,,
,12,AGEL Hybrid Merchant,AGE26BL,Merchant,S-5,,Merchant,Rephase,,,,50,,75,62,105,,,,,292,292,,,125,167,
